area_type,availability,location,size,society,total_sqft,bath,balcony,price,bath_balcony_ratio,property_type
Plot  Area,Ready To Move,Byappanahalli,5 Bedroom,Prtates,2900,5,2,90,2.5,Plot
Super built-up  Area,Ready To Move,Kogilu,2 BHK,Prtates,1170,2,1,51.99,2,Flat++
Plot  Area,Ready To Move,Sahakara Nagar,3 Bedroom,Prtates,1200,3,3,200,1,Plot
Super built-up  Area,18-Dec,Whitefield,3 BHK,Prtates,1697,3,2,94.79,1.5,Flat++
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Siace P,1651,3,3,97.38,1,Flat++
Super built-up  Area,Ready To Move,Vasanth nagar,3 BHK,Siace P,1560,3,1,188,3,Flat++
Super built-up  Area,17-Apr,Hennur Road,3 BHK,Koagati,1192,2,1,60,2,Flat++
Built-up  Area,Ready To Move,OMBR Layout,2 BHK,Salisal,1078,2,3,65,0.67,Flat+
Plot  Area,Ready To Move,Kumaraswami Layout,7 Bedroom,Salisal,800,7,3,105,2.33,Plot
Super built-up  Area,Ready To Move,Kasavanhalli,2 BHK,Salisal,1349,2,2,78,1,Flat++
Plot  Area,Ready To Move,Ulsoor,9 Bedroom,Eladero,2300,8,1,210,8,Plot
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Eladero,1680,3,2,120,1.5,Flat++
Super built-up  Area,Ready To Move,Rayasandra,3 BHK,SLnorMa,1314,2,2,63,1,Flat++
Super built-up  Area,Ready To Move,Garudachar Palya,2 BHK,SLnorMa,1060,2,1,48.7,2,Flat++
Built-up  Area,Ready To Move,Kalyan nagar,2 BHK,SLnorMa,820,2,0,39,inf,Flat+
Plot  Area,Ready To Move,Whitefield,4 Bedroom,Skensk ,5000,4,3,400,1.33,Plot
Super built-up  Area,Ready To Move,BEML Layout,3 BHK,Sothin ,2000,3,2,85,1.5,Flat++
Super built-up  Area,Ready To Move,Kalkere,2 BHK,Sothin ,856,2,3,40,0.67,Flat++
Super built-up  Area,18-Feb,Rajaji Nagar,3 BHK,Puwerun,1621,4,0,130,inf,Flat++
Plot  Area,18-Dec,ITPL,3 Bedroom,TGjraVa,1200,3,1,68.4,3,Plot
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,TGjraVa,1484,3,2,52.5,1.5,Flat++
Plot  Area,Ready To Move,T.C. Palya,4 Bedroom,Apavea ,600,5,2,60,2.5,Plot
Plot  Area,Ready To Move,Siddapura,4 Bedroom,Apavea ,14000,3,2,800,1.5,Plot
Super built-up  Area,Ready To Move,Yelahanka New Town,1 BHK,KHatsFl,500,1,1,20,1,Flat++
Super built-up  Area,Ready To Move,Makali,1 BHK,Itelaa ,485,1,1,15,1,Flat++
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,Itelaa ,1050,2,1,42,2,Flat++
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,Itelaa ,1617,3,3,66.68,1,Flat++
Built-up  Area,Ready To Move,Electronic City,2 BHK,Itelaa ,550,1,1,16,1,Flat+
Built-up  Area,Ready To Move,RWF West Colony,3 BHK,PancyRe,1384,3,2,62.28,1.5,Flat+
Super built-up  Area,18-Apr,Devanahalli,2 BHK,Sungsha,1408,2,2,85,1,Flat++
Built-up  Area,Ready To Move,Uttarahalli,2 BHK,Sungsha,1150,2,1,49,2,Flat+
Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,Adsia F,1410,2,2,75,1,Flat++
Built-up  Area,Ready To Move,Kaggadasapura,4 BHK,Adsia F,2150,4,1,100,4,Flat+
Super built-up  Area,Ready To Move,Koramangala,3 BHK,Maens G,2292,4,1,275,4,Flat++
Built-up  Area,Ready To Move,Malleshwaram,3 BHK,Maens G,2006,3,2,297,1.5,Flat+
Built-up  Area,Ready To Move,Maragondanahalli,3 BHK,ArnzaFi,1508,3,2,70.25,1.5,Flat+
Built-up  Area,Ready To Move,Ramamurthy Nagar,2 BHK,Foghaa ,1040,2,2,50,1,Flat+
Plot  Area,Ready To Move,TC Palaya,2 Bedroom,Lancy R,1240,2,1,60,2,Plot
Super built-up  Area,Ready To Move,Kudlu Gate,3 BHK,Srier P,1535,3,1,78,3,Flat++
Built-up  Area,Ready To Move,Lakshminarayana Pura,2 BHK,RothaVa,1180,2,2,75,1,Flat+
Built-up  Area,Ready To Move,Abbigere,6 Bedroom,SNity S,2200,6,2,68,3,Flat+
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,SNity S,1400,2,2,78,1,Flat++
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,1 BHK,Pronege,500,1,1,25,1,Flat++
Plot  Area,Ready To Move,Whitefield,4 Bedroom,Pronege,4800,4,3,525,1.33,Plot
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Puallhi,1984,4,1,146,4,Flat++
Plot  Area,Ready To Move,Whitefield,4 Bedroom,VDe 1Du,3000,5,3,250,1.67,Plot
Super built-up  Area,Ready To Move,Garudachar Palya,3 BHK,BrlisMe,1960,3,3,160,1,Flat++
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Shthi S,1035,2,1,45,2,Flat++
Built-up  Area,Ready To Move,Vibuthipura,4 Bedroom,Mithmn ,2150,4,1,80,4,Flat+
Built-up  Area,Ready To Move,Whitefield,3 BHK,Mithmn ,1700,3,2,115,1.5,Flat+
Super built-up  Area,Ready To Move,Hosakerehalli,4 BHK,Taonte ,3024,5,1,248,5,Flat++
Super built-up  Area,21-Jan,Tumkur Road,3 BHK,Sapus S,1586,3,1,100,3,Flat++
Built-up  Area,18-May,Hennur,3 Bedroom,Asoilul,2264,4,1,155,4,Flat+
Plot  Area,Ready To Move,Chikka Tirupathi,4 Bedroom,Theanmp,2325,4,1,120,4,Plot
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,Rarthne,1120,2,2,55,1,Flat++
Super built-up  Area,18-Jun,Yelahanka,3 BHK,Shalkri,1440 - 1884,2,2,67.98,1,Flat++
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,CharkGr,1128,2,2,59,1,Flat++
Plot  Area,Ready To Move,5th Block Hbr Layout,6 Bedroom,DLhtsan,1200,6,2,250,3,Plot
Super built-up  Area,Ready To Move,Jigani,2 BHK,DLhtsan,924,2,2,65,1,Flat++
Super built-up  Area,Ready To Move,Suraksha Nagar,3 BHK,AritaFe,1600,3,2,52,1.5,Flat++
Super built-up  Area,Ready To Move,Pai Layout,2 BHK,Srncy R,1006,2,2,35,1,Flat++
Super built-up  Area,Ready To Move,Amruthahalli,2 BHK,Srncy R,1200,2,2,55,1,Flat++
Super built-up  Area,20-Dec,Jalahalli West,2 BHK,VBownre,1250,2,1,62,2,Flat++
Plot  Area,Ready To Move,Defence Layout,3 Bedroom,VBownre,1200,3,1,130,3,Plot
Built-up  Area,Ready To Move,Kannamangala,2 BHK,VBownre,957,2,1,56,2,Flat+
Super built-up  Area,Ready To Move,Whitefield,2 BHK,SSthamh,1140,2,2,41,1,Flat++
Super built-up  Area,Ready To Move,Roopena Agrahara,2 BHK,RortsCo,1050,2,1,67,2,Flat++
Super built-up  Area,Ready To Move,Kasturi Nagar,3 BHK,GClmsun,1565,3,2,88.5,1.5,Flat++
Super built-up  Area,Ready To Move,Whitefield,2 BHK,GClmsun,1190,2,3,57,0.67,Flat++
Built-up  Area,18-Jan,Whitefield,3 Bedroom,SoapeSu,2842,3,2,162,1.5,Flat+
Built-up  Area,Ready To Move,Kanakpura Road,3 BHK,SoapeSu,1558.67,2,2,65,1,Flat+
Super built-up  Area,Ready To Move,Electronics City Phase 1,1 BHK,Iseenst,630,1,1,39,1,Flat++
Super built-up  Area,Ready To Move,Whitefield,3 BHK,Iseenst,1403,2,2,60.81,1,Flat++
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,SLourle,1542,2,3,85,0.67,Flat++
Built-up  Area,Ready To Move,Haralur Road,4 Bedroom,IDlleri,2750,4,0,220,inf,Flat+
Super built-up  Area,Ready To Move,Iblur Village,4 BHK,Emine P,3596,5,1,290,5,Flat++
Super built-up  Area,Ready To Move,Kengeri Satellite Town,3 BHK,Puceswn,1635,2,1,78,2,Flat++
Super built-up  Area,Ready To Move,Mysore Road,2 BHK,Puceswn,1239,2,1,53,2,Flat++
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,Puceswn,1194,2,2,47,1,Flat++
Super built-up  Area,Ready To Move,Dooravani Nagar,3 BHK,Puceswn,1596,3,1,105,3,Flat++
Super built-up  Area,17-Nov,Channasandra,2 BHK,Unm 2El,1009,2,1,38.34,2,Flat++
Super built-up  Area,18-Jul,Hosa Road,3 BHK,Mahesr ,1726,3,2,81.99,1.5,Flat++
Super built-up  Area,Ready To Move,Kudlu Gate,3 BHK,Srier P,1535,3,2,86,1.5,Flat++
Super built-up  Area,Ready To Move,Banashankari Stage V,3 BHK,Adowslm,1300,2,1,58.5,2,Flat++
Plot  Area,Ready To Move,Whitefield,4 Bedroom,Adowslm,3100,4,2,465,2,Plot
Super built-up  Area,Ready To Move,Coconut Garden,3 BHK,Shestlo,1800,3,3,80,1,Flat++
Super built-up  Area,19-Dec,Binny Pete,1 BHK,Shestlo,665,1,0,50.75,inf,Flat++
Plot  Area,Ready To Move,Chamrajpet,9 Bedroom,Sothin ,4050,7,1,1200,7,Plot
Plot  Area,Ready To Move,TC Palaya,3 Bedroom,Sothin ,1500,2,1,100,2,Plot
Built-up  Area,Ready To Move,Kalkere,2 BHK,Sothin ,925,2,2,48,1,Flat+
Super built-up  Area,18-Dec,Old Airport Road,4 BHK,Jaades ,3356,4,1,251,4,Flat++
Super built-up  Area,Ready To Move,Gollahalli,2 BHK,ArzzaRe,1395,2,1,63.59,2,Flat++
Super built-up  Area,Ready To Move,Sonnenahalli,3 BHK,DSgam S,1415,2,1,55,2,Flat++
Super built-up  Area,Ready To Move,Begur,3 BHK,Arera V,1419,2,2,59,1,Flat++
Super built-up  Area,18-Feb,Kasavanhalli,2 BHK,Brersge,1121,2,2,78,1,Flat++
Super built-up  Area,Ready To Move,Kambipura,3 BHK,MCnexva,1082,2,1,45,2,Flat++
Super built-up  Area,18-Jun,KR Puram,2 BHK,MCnexva,1100,2,1,47,2,Flat++
Super built-up  Area,Ready To Move,Hoodi,3 BHK,Keers S,1606,3,3,89.55,1,Flat++
Built-up  Area,Ready To Move,Billekahalli,3 BHK,Niateki,1650,3,2,88,1.5,Flat+
Super built-up  Area,Ready To Move,D Souza Layout,3 BHK,Niateki,4634,4,3,1015,1.33,Flat++
Super built-up  Area,Ready To Move,Old Airport Road,2 BHK,Vadel C,1206,2,3,75,0.67,Flat++
Built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,HIideSu,1495,2,0,64,inf,Flat+
Plot  Area,Ready To Move,Malleshwaram,8 Bedroom,Itelaa ,840,7,2,195,3.5,Plot
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Itelaa ,710,2,2,16,1,Flat++
Super built-up  Area,Ready To Move,Balagere,2 BHK,DSesthr,1210,2,1,72,2,Flat++
Super built-up  Area,Ready To Move,Nagarbhavi,3 BHK,DSesthr,1523,2,2,53.4,1,Flat++
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Krine C,1232,2,2,45,1,Flat++
Super built-up  Area,20-Aug,Rachenahalli,1 BHK,AsNowre,680,1,1,44,1,Flat++
Super built-up  Area,19-Dec,Hebbal,3 BHK,Magiaya,1355,3,1,83.87,3,Flat++
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,MenueNo,1430,2,2,51.46,1,Flat++
Super built-up  Area,18-Jun,Kothannur,3 BHK,GMown E,1275,2,2,43.85,1,Flat++
Super built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,1070,2,1,56.1,2,Flat++
Plot  Area,Ready To Move,Bettahalsoor,3 Bedroom,SatatHa,1200,3,1,85,3,Plot
Plot  Area,Ready To Move,Electronic City,4 Bedroom,SatatHa,2000,4,0,120,inf,Plot
Super built-up  Area,Ready To Move,Bommanahalli,2 BHK,SatatHa,1200,2,2,40,1,Flat++
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,SatatHa,1610,3,1,90,3,Flat++
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,RInceeg,1140,2,2,43,1,Flat++
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1143,2,2,38.65,1,Flat++
Super built-up  Area,22-May,Jakkur,4 BHK,SoineC ,3467.86,6,3,249,2,Flat++
Super built-up  Area,Ready To Move,Rachenahalli,3 BHK,Sovar S,1530,2,2,74.4,1,Flat++
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,Brnia G,980,2,2,69,1,Flat++
Super built-up  Area,Ready To Move,Whitefield,3 BHK,ChodsGr,1485,3,2,65,1.5,Flat++
Plot  Area,18-May,Whitefield,3 Bedroom,WoarkEm,1500,3,1,130,3,Plot
Super built-up  Area,18-Oct,Whitefield,2 BHK,Umods W,1280,2,1,75,2,Flat++
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,Bhmesy ,1265,2,2,85,1,Flat++
Built-up  Area,20-Dec,"ECC Road, Whitefield, ",2 BHK,SJcerpe,1132,2,1,67,2,Flat+
Super built-up  Area,Ready To Move,Ashwath Nagar,2 BHK,SJcerpe,1262,2,2,63,1,Flat++
Super built-up  Area,Ready To Move,JP Nagar,2 BHK,Maentor,940,2,1,49,2,Flat++
Super built-up  Area,Ready To Move,Seetharampalya,3 BHK,DLhtsan,1515,3,3,88,1,Flat++
Super built-up  Area,Ready To Move,Jigani,3 BHK,DLhtsan,1300,3,3,150,1,Flat++
Built-up  Area,Ready To Move,Kothanur,3 Bedroom,Itvir M,1840,3,1,69,3,Flat+
Built-up  Area,Ready To Move,Electronic City,2 BHK,Itvir M,890,2,2,45,1,Flat+
Super built-up  Area,Ready To Move,Rukmaiah Layout,3 BHK,SaireSa,1655,3,2,86.06,1.5,Flat++
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,SaireSa,2060,3,1,149,3,Flat++
Super built-up  Area,Ready To Move,Bommanahalli,3 BHK,SNeur G,1730,3,1,96,3,Flat++
Built-up  Area,Ready To Move,Yelahanka,3 BHK,Leilo E,2195,4,2,127,2,Flat+
Super built-up  Area,18-Mar,Kathriguppe,3 BHK,Caiya D,1650,3,2,125,1.5,Flat++
Plot  Area,Ready To Move,KR Puram,2 Bedroom,Caiya D,1200,2,0,71,inf,Plot
Super built-up  Area,18-May,Hosa Road,2 BHK,Caiya D,1079,2,1,32.37,2,Flat++
Super built-up  Area,19-Oct,Panathur,2 BHK,Caiya D,1085,2,1,36,2,Flat++
Built-up  Area,Ready To Move,Maruthi Sevanagar,7 Bedroom,GoAirej,5000,7,1,299,7,Flat+
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,GoAirej,1075,2,1,51.5,2,Flat++
Super built-up  Area,18-May,Devanahalli Int. Airport,2 BHK,GoAirej,1380,2,1,80,2,Flat++
Super built-up  Area,Ready To Move,Puttanahalli,3 BHK,GoAirej,1450,3,1,65,3,Flat++
Super built-up  Area,Ready To Move,Thubarahalli,2 BHK,GoAirej,1200,2,2,78,1,Flat++
Super built-up  Area,Ready To Move,Benson Town,3 BHK,GoAirej,3200,4,1,350,4,Flat++
Super built-up  Area,21-Jul,Hoodi,3 BHK,GoAirej,1639,3,1,98.32,3,Flat++
Super built-up  Area,Ready To Move,Jakkuru Layout,2 BHK,Saityat,1200,2,1,54,2,Flat++
Super built-up  Area,21-Jun,Vijayanagar,3 BHK,Saityat,1739,3,1,116,3,Flat++
Built-up  Area,Ready To Move,Palanahalli,4 Bedroom,RMaanSa,4346,5,1,500,5,Flat+
Super built-up  Area,20-Dec,Old Madras Road,2 BHK,Shmes O,935,2,1,32.72,2,Flat++
Super built-up  Area,21-Nov, Thanisandra,1 RK,Bhe 2ko,510,1,1,25.25,1,Flat++
Plot  Area,Ready To Move,Devasandra Extension,6 Bedroom,PrestSe,1200,6,3,180,2,Plot
Super built-up  Area,Ready To Move,Nagondanahalli,2 BHK,PrestSe,1178,2,3,47,0.67,Flat++
Built-up  Area,Ready To Move,Chikkalasandra,3 BHK,Siourpl,1375,2,1,50,2,Flat+
Super built-up  Area,Ready To Move,Chandapura,3 BHK,Halms S,1065,2,1,33,2,Flat++
Super built-up  Area,Ready To Move,2nd Phase Judicial Layout,3 BHK,Wiass G,1450,2,1,50.75,2,Flat++
Built-up  Area,Ready To Move,BEML Layout,2 BHK,Wiass G,999,2,3,45,0.67,Flat+
Super built-up  Area,Ready To Move,Amruthahalli,2 BHK,Wiass G,4400,3,2,475,1.5,Flat++
Plot  Area,Ready To Move,Marathahalli,5 Bedroom,Wiass G,1350,4,1,135,4,Plot
Built-up  Area,Ready To Move,Kothannur,2 BHK,Wiass G,1100,2,2,40,1,Flat+
Super built-up  Area,Ready To Move,Koramangala,3 BHK,Wiass G,1835,2,3,155,0.67,Flat++
Super built-up  Area,20-Dec,Hoodi,4 BHK,Caycend,2090,4,0,95.1,inf,Flat++
Super built-up  Area,Ready To Move,Lingadheeranahalli,3 BHK,Soiewre,1519,3,1,93,3,Flat++
Built-up  Area,Ready To Move,Dommasandra,3 BHK,Asene S,1267,3,2,56,1.5,Flat+
Super built-up  Area,Ready To Move,Sanjay nagar,2 BHK,Camesa ,1150,2,3,72.2,0.67,Flat++
Super built-up  Area,19-Dec,Marathahalli,2 BHK,PrensKe,1146,2,1,70,2,Flat++
Plot  Area,18-Feb,1st Block HRBR Layout,8 Bedroom,Marnaer,1200,7,0,235,inf,Plot
Built-up  Area,Ready To Move,Kannamangala,3 BHK,Marnaer,1550,3,3,65,1,Flat+
Built-up  Area,Ready To Move,Chandapura,2 BHK,KHityry,850,1,1,18.5,1,Flat+
Super built-up  Area,Ready To Move,Richmond Town,3 BHK,Kaestid,2200,3,2,187,1.5,Flat++
Built-up  Area,Ready To Move,"Sarjapur Road, ",3 Bedroom,GonumPl,3329,3,2,330,1.5,Flat+
Carpet  Area,Ready To Move,Electronics City Phase 1,1 BHK,GonumPl,785,1,1,55,1,Flat
Super built-up  Area,Ready To Move,Hebbal Kempapura,3 BHK,GonumPl,2900,4,2,300,2,Flat++
Built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,Avlya A,1610,3,2,74,1.5,Flat+
Super built-up  Area,Ready To Move,Bellandur,2 BHK,Krine O,921,2,2,40,1,Flat++
Plot  Area,Ready To Move,Kengeri Satellite Town,3 Bedroom,SocusHi,850,3,2,95,1.5,Plot
Built-up  Area,Ready To Move,Bannerghatta Road,5 Bedroom,SocusHi,2700,5,0,158,inf,Flat+
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,SocusHi,1700,3,3,110,1,Flat++
Built-up  Area,Ready To Move,Sarjapur,2 BHK,Sondaka,1020,2,2,35,1,Flat+
Super built-up  Area,Ready To Move,Billekahalli,2 BHK,Dintsmi,1090,2,3,52,0.67,Flat++
Plot  Area,Ready To Move,Bagalur Main Road,4 Bedroom,MenueNo,3600,4,2,300,2,Plot
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,MenueNo,1027,2,2,44,1,Flat++
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,MenueNo,1185,2,2,42.1,1,Flat++
Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,Prianhi,850,2,1,25,2,Flat++
Built-up  Area,Ready To Move,Harlur,2 BHK,Prncyrn,1197,2,1,84,2,Flat+
Super built-up  Area,Ready To Move,Byadarahalli,4 BHK,ETntsce,3500,3,3,450,1,Flat++
Super built-up  Area,Ready To Move,Poorna Pragna Layout,2 BHK,i1rtsCo,920,2,2,39.55,1,Flat++
Super built-up  Area,Ready To Move,Chamrajpet,9 BHK,i1rtsCo,716Sq. Meter,9,1,296,9,Flat++
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,i1rtsCo,1105,2,1,65,2,Flat++
Super built-up  Area,Ready To Move,Yeshwanthpur,3 BHK,GoandAc,1850,3,3,100,1,Flat++
Super built-up  Area,20-Dec,Judicial Layout,3 BHK,PrarePa,1300,3,1,64,3,Flat++
Built-up  Area,Ready To Move,"Varthur Road, ",3 BHK,Priesla,1595,3,2,76,1.5,Flat+
Super built-up  Area,19-Dec,Kodihalli,4 BHK,Priesla,3073,5,2,696,2.5,Flat++
Built-up  Area,Ready To Move,Horamavu Agara,2 BHK,PrarePa,755,2,1,37.49,2,Flat+
Built-up  Area,Ready To Move,Nagasandra,5 Bedroom,PrarePa,4050,5,2,140,2.5,Flat+
Super built-up  Area,21-Dec,Kanakpura Road,3 BHK,PrarePa,1300,2,3,69,0.67,Flat++
Built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,PrarePa,1215,2,0,50,inf,Flat+
Super built-up  Area,20-Oct,Kanakpura Road,2 BHK,PrarePa,900,2,1,46,2,Flat++
Super built-up  Area,18-Oct,Banashankari Stage III,2 BHK,PrliaRe,1145,2,3,58.4,0.67,Flat++
Super built-up  Area,Ready To Move,Chikka Banaswadi,2 BHK,PrliaRe,1093,2,2,65,1,Flat++
Super built-up  Area,17-Nov,Babusapalaya,3 BHK,PrliaRe,1213,2,2,41.39,1,Flat++
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,PrliaRe,1654,3,2,100,1.5,Flat++
Super built-up  Area,Ready To Move,NGR Layout,2 BHK,Hoens T,1105,2,1,52.48,2,Flat++
Super built-up  Area,Ready To Move,Babusapalaya,3 BHK,Hoens T,1611,2,2,66,1,Flat++
Built-up  Area,Ready To Move,Outer Ring Road East,2 BHK,Hoens T,1367,2,2,62,1,Flat+
Super built-up  Area,Ready To Move,Devanahalli,2 BHK,Brntsal,1010,2,1,51,2,Flat++
Plot  Area,Ready To Move,Kavika Layout,3 Bedroom,SVon hn,750,2,1,75,2,Plot
Carpet  Area,Ready To Move,Vinayaka Nagar,3 BHK,SVon hn,1535,3,1,95,3,Flat
Super built-up  Area,Ready To Move,Anekal,2 BHK,BSlasin,620,2,1,22,2,Flat++
Built-up  Area,Ready To Move,Horamavu Agara,2 BHK,BSlasin,982,2,1,47.65,2,Flat+
Super built-up  Area,Ready To Move,Banashankari Stage II,2 BHK,BSlasin,1700,2,2,150,1,Flat++
Super built-up  Area,18-Dec,Whitefield,2 BHK,BSlasin,1330,2,1,71,2,Flat++
Built-up  Area,Ready To Move,JP Nagar,3 Bedroom,Ronty C,2500,3,2,135,1.5,Flat+
Super built-up  Area,Ready To Move,Poorna Pragna Layout,3 BHK,BSisear,1475,2,2,58.99,1,Flat++
Super built-up  Area,Ready To Move,Bhoganhalli,3 BHK,BSisear,1410,3,1,65,3,Flat++
Super built-up  Area,Ready To Move,Yelahanka New Town,1 BHK,PuziaVe,440,1,1,16.5,1,Flat++
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,PuziaVe,1614,3,2,95,1.5,Flat++
Super built-up  Area,Ready To Move,Neeladri Nagar,2 BHK,GeereEc,1363,2,2,68,1,Flat++
Built-up  Area,Ready To Move,Kogilu,2 Bedroom,Ravashw,650,2,0,28,inf,Flat+
Super built-up  Area,Ready To Move,Dodda Kempaiah Layout,2 BHK,Ravashw,1015,2,1,45,2,Flat++
Super built-up  Area,Ready To Move,Horamavu Banaswadi,2 BHK,Ravashw,1156,2,2,46,1,Flat++
Super built-up  Area,19-Mar,Hennur Busstop,2 BHK,Ravashw,1100,2,1,62.7,2,Flat++
Super built-up  Area,18-Jan,KR Puram,3 BHK,Ravashw,1455,3,2,46,1.5,Flat++
Super built-up  Area,Ready To Move,GB Palya,2 BHK,Ravashw,930,2,1,45,2,Flat++
Built-up  Area,Ready To Move,AMS Layout,3 BHK,AjityIn,1650,2,2,80,1,Flat+
Built-up  Area,Ready To Move,KR Puram,2 Bedroom,AjityIn,1200,2,0,90,inf,Flat+
Plot  Area,Ready To Move,9th Block Jayanagar,1 Bedroom,AjityIn,700,1,0,150,inf,Plot
Super built-up  Area,Ready To Move,Karuna Nagar,4 BHK,AjityIn,2900,3,3,135,1,Flat++
Super built-up  Area,18-Mar,Kadugodi,3 BHK,Alestrb,1890,4,3,127,1.33,Flat++
Super built-up  Area,Ready To Move,Ashwathnagar,3 BHK,Vaour S,2197,4,3,280,1.33,Flat++
Super built-up  Area,Ready To Move,Hebbal Kempapura,3 BHK,GonumPl,3522,3,2,380,1.5,Flat++
Super built-up  Area,18-Apr,Gaurava Nagar,3 BHK,Vaaveeh,1240,2,2,46,1,Flat++
Built-up  Area,Ready To Move,HRBR Layout,2 BHK,Vaaveeh,1440,2,2,98,1,Flat+
Super built-up  Area,Ready To Move,Kodichikkanahalli,1 BHK,Brstaue,650,1,2,38,0.5,Flat++
Super built-up  Area,19-Jun,Budigere,1 BHK,Brstaue,764,1,1,32,1,Flat++
Plot  Area,Ready To Move,Sector 7 HSR Layout,5 Bedroom,GrrvaGr,900,4,0,90,inf,Plot
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,GrrvaGr,1693,3,3,57.39,1,Flat++
Built-up  Area,Ready To Move,Hoodi,3 BHK,Macanr ,1445,3,2,65,1.5,Flat+
Super built-up  Area,21-Oct,Kanakpura Road,2 BHK,PrarePa,900,1,0,45,inf,Flat++
Super built-up  Area,Ready To Move,Singasandra,2 BHK,Pyikad ,1030,2,2,55,1,Flat++
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,Pyikad ,1381,2,2,52.48,1,Flat++
Built-up  Area,Ready To Move,Basapura,2 BHK,Krtiqa ,1100,2,1,60,2,Flat+
Super built-up  Area,Ready To Move,Hoodi,3 BHK,Dhalsh ,1575,3,2,66.39,1.5,Flat++
Plot  Area,Ready To Move,Thigalarapalya,2 Bedroom,Dhalsh ,1200,2,1,65,2,Plot
Super built-up  Area,Ready To Move,Begur Road,2 BHK,Dhalsh ,1200,2,2,43.2,1,Flat++
Super built-up  Area,Ready To Move,Kasturi Nagar,2 BHK,GradeMR,1080,2,2,80,1,Flat++
Plot  Area,Ready To Move,Hebbal Kempapura,5 Bedroom,Ceezey ,2280,5,2,200,2.5,Plot
Super built-up  Area,18-Mar,Akshaya Nagar,3 BHK,Ceezey ,1360,2,2,85,1,Flat++
Super built-up  Area,19-Dec,Jakkur,3 BHK,Ceezey ,1865,3,1,124,3,Flat++
Super built-up  Area,18-Nov,Sarjapur  Road,3 BHK,AsastDe,1157,2,1,75,2,Flat++
Super built-up  Area,Ready To Move,Kammasandra,2 BHK,Icingpy,674,2,1,29,2,Flat++
Super built-up  Area,Ready To Move,Whitefield,3 BHK,AdndeBe,1405,2,1,78,2,Flat++
Super built-up  Area,Ready To Move,Begur Road,2 BHK,Dhalsh ,1160,2,2,44.08,1,Flat++
Plot  Area,Ready To Move,Kengeri Satellite Town ( BDA SITE),4 Bedroom,Oztarol,1600,3,1,172,3,Plot
Super built-up  Area,21-Mar,Hebbal,3 BHK,Oztarol,1790,3,2,127,1.5,Flat++
Super built-up  Area,18-May,Electronic City,2 BHK,Prarkun,1128,2,1,65.65,2,Flat++
Super built-up  Area,Ready To Move,Panathur,2 BHK,Arentpa,1180,2,1,70,2,Flat++
Built-up  Area,Ready To Move,AGS Layout,3 BHK,Pethaai,1450,2,2,85,1,Flat+
Built-up  Area,18-Mar,Kengeri,1 BHK,Pethaai,340,1,1,10,1,Flat+
Built-up  Area,Ready To Move,Srinagar,4 Bedroom,Pethaai,2000,3,1,166,3,Flat+
Super built-up  Area,Ready To Move,Rachenahalli,2 BHK,Pethaai,1050,2,2,53.5,1,Flat++
Super built-up  Area,Ready To Move,Varthur,2 BHK,Pethaai,1125,2,2,40,1,Flat++
Super built-up  Area,Ready To Move,Vittasandra,2 BHK,Prlla C,1246,2,1,68,2,Flat++
Super built-up  Area,Ready To Move,HSR Layout,2 BHK,SrisePo,1372,2,1,61,2,Flat++
